legacy_anchor_drug_id,legacy_anchor_drug_name,quarantine_reason
1,(+)-1-bromo-2-propanol,no_rxnorm_ingredient_evidence
2,(+)-2-(4-biphenyl)propionic acid,no_rxnorm_ingredient_evidence
3,(+)-menthol,no_rxnorm_ingredient_evidence
4,(+)-rutamarin alcohol,no_rxnorm_ingredient_evidence
5,(-)-beta-elemene,no_rxnorm_ingredient_evidence
6,(-)-menthol 1-propylene glycol carbonate,no_rxnorm_ingredient_evidence
7,"(1'r,2's)-9-(2-hydroxy-3'-keto-cyclopenten-1-yl)adenine",no_rxnorm_ingredient_evidence
8,"(1,2,6,7-3h)testosterone",no_rxnorm_ingredient_evidence
9,(1-benzyl-5-methoxy-2-methyl-1h-indol-3-yl)acetic acid,no_rxnorm_ingredient_evidence
10,"(1-hydroxy-1-phosphono-2-[1,1';4',1'']terphenyl-3-yl-ethyl)-phosphonic acid",no_rxnorm_ingredient_evidence
11,(1-hydroxy-2-oxopiperidin-3-yl)phosphonic acid,no_rxnorm_ingredient_evidence
12,"(1-hydroxyheptane-1,1-diyl)bis(phosphonic acid)",no_rxnorm_ingredient_evidence
13,"(1-hydroxynonane-1,1-diyl)bis(phosphonic acid)",no_rxnorm_ingredient_evidence
14,(1-methyl-1h-imidazol-2-yl)-(3-methyl-4-{3-[(pyridin-3-ylmethyl)-amino]-propoxy}-benzofuran-2-yl)-methanone,no_rxnorm_ingredient_evidence
15,"(10e,12z)-octadecadienoic acid",no_rxnorm_ingredient_evidence
16,"(10r)-10-formyl-5,8,10-trideazafolic acid",no_rxnorm_ingredient_evidence
17,"(10r)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8h-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one",no_rxnorm_ingredient_evidence
18,"(11r)-10-acetyl-11-(2,4-dichlorophenyl)-6-hydroxy-3,3-dimethyl-2,3,4,5,10,11-hexahydro-1h-dibenzo[b,e][1,4]diazepin-1-one",no_rxnorm_ingredient_evidence
19,"(11s)-8-chloro-11-[1-(methylsulfonyl)piperidin-4-yl]-6-piperazin-1-yl-11h-benzo[5,6]cyclohepta[1,2-b]pyridine",no_rxnorm_ingredient_evidence
20,(12r)-12-hydroxyeicosapentaenoic acid,no_rxnorm_ingredient_evidence
21,"(13r,15s)-13-methyl-16-oxa-8,9,12,22,24-pentaazahexacyclo[15.6.2.16,9.1,12,15.0,2,7.0,21,25]heptacosa-1(24),2,4,6,17(25),18,20-heptaene-23,26-dione",no_rxnorm_ingredient_evidence
22,"(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate",no_rxnorm_ingredient_evidence
23,"(1e)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1h-pyrazol-4-yl)-2,3-dihydro-1h-inden-1-one oxime",no_rxnorm_ingredient_evidence
24,(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,no_rxnorm_ingredient_evidence
25,(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine,no_rxnorm_ingredient_evidence
26,"(1r)-1,2,2-trimethylpropyl (r)-methylphosphinate",no_rxnorm_ingredient_evidence
27,(1r)-1-(2-thienylacetylamino)-1-phenylmethylboronic acid,no_rxnorm_ingredient_evidence
28,"(1r)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",no_rxnorm_ingredient_evidence
29,(1r)-2-[(cyanomethyl)amino]-1-({[2-(difluoromethoxy)benzyl]sulfonyl}methyl)-2-oxoethyl morpholine-4-carboxylate,no_rxnorm_ingredient_evidence
30,"(1r)-2-[(diaminomethylene)amino]-1-{4-[(4r)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate",no_rxnorm_ingredient_evidence
31,(1r)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol,no_rxnorm_ingredient_evidence
32,(1r)-2-phenylacetamido-2-(3-carboxyphenyl)ethyl boronic acid,no_rxnorm_ingredient_evidence
33,(1r)-3-chloro-1-phenylpropan-1-ol,no_rxnorm_ingredient_evidence
34,(1r)-4-(3-phenoxyphenyl)-1-phosphonobutane-1-sulfonic acid,no_rxnorm_ingredient_evidence
35,"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-hydroxy-3,7,12,16-tetramethylheptadeca-1,3,5,7,9,11,13,15-octaen-1-yl]-3,5,5-trimethylcyclohex-3-en-1-ol",no_rxnorm_ingredient_evidence
36,(1r)-menthyl hexyl phosphonate group,no_rxnorm_ingredient_evidence
37,"(1r)-n,6-dihydroxy-7-methoxy-2-[(4-methoxyphenyl)sulfonyl]-1,2,3,4-tetrahydroisoquinoline-1-carboxamide",no_rxnorm_ingredient_evidence
38,"(1r, 2s)-cis 1,2 dihydroxy-1,2-dihydronaphthalene",no_rxnorm_ingredient_evidence
39,"(1r,2r)-n-(2-aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide",no_rxnorm_ingredient_evidence
40,"(1r,2r,3r,4s,5r)-4-(benzylamino)-5-(methylthio)cyclopentane-1,2,3-triol",no_rxnorm_ingredient_evidence
41,"(1r,2r,3s,4r,6s)-3,4,6-trihydroxy-5-{[(s)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",no_rxnorm_ingredient_evidence
42,"(1r,2r,3s,4r,6s)-4,6-diamino-2-{[3-o-(2,6-diamino-2,6-dideoxy-beta-l-idopyranosyl)-2-o-{2-[(piperidin-3-ylmethyl)amino]ethyl}-beta-d-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-d-glucopyranoside",no_rxnorm_ingredient_evidence
43,"(1r,2s)-2-(5-thioxo-4,5-dihydro-1h-1,2,4-triazol-3-yl)cyclohexanecarboxylic acid",no_rxnorm_ingredient_evidence
44,"(1r,2s)-2-phenylcyclopropanaminium",no_rxnorm_ingredient_evidence
