legacy_regimen_id,legacy_anchor_drug_id,source_id,quarantine_reason
1,3890,1,drug_anchor_not_uniquely_validated
2,31786,1,drug_anchor_not_uniquely_validated
3,3729,1,drug_anchor_not_uniquely_validated
3,9253,1,drug_anchor_not_uniquely_validated
4,3729,1,drug_anchor_not_uniquely_validated
5,3729,1,drug_anchor_not_uniquely_validated
5,9253,1,drug_anchor_not_uniquely_validated
6,3729,1,drug_anchor_not_uniquely_validated
7,3438,1,drug_anchor_not_uniquely_validated
7,3438,7,drug_anchor_not_uniquely_validated
7,3477,1,drug_anchor_not_uniquely_validated
7,3729,1,drug_anchor_not_uniquely_validated
7,9253,1,drug_anchor_not_uniquely_validated
8,3729,1,drug_anchor_not_uniquely_validated
8,9253,1,drug_anchor_not_uniquely_validated
9,3729,1,drug_anchor_not_uniquely_validated
9,9253,1,drug_anchor_not_uniquely_validated
10,3729,1,drug_anchor_not_uniquely_validated
10,9253,1,drug_anchor_not_uniquely_validated
11,3729,1,drug_anchor_not_uniquely_validated
11,9253,1,drug_anchor_not_uniquely_validated
12,3729,1,drug_anchor_not_uniquely_validated
12,9253,1,drug_anchor_not_uniquely_validated
13,3729,1,drug_anchor_not_uniquely_validated
14,3729,1,drug_anchor_not_uniquely_validated
15,3729,1,drug_anchor_not_uniquely_validated
16,3729,1,drug_anchor_not_uniquely_validated
17,3729,1,drug_anchor_not_uniquely_validated
18,3729,1,drug_anchor_not_uniquely_validated
19,3729,1,drug_anchor_not_uniquely_validated
20,3729,7,drug_anchor_not_uniquely_validated
20,9253,7,drug_anchor_not_uniquely_validated
21,3438,1,drug_anchor_not_uniquely_validated
21,13255,1,drug_anchor_not_uniquely_validated
22,3438,1,drug_anchor_not_uniquely_validated
22,10266,1,drug_anchor_not_uniquely_validated
23,3438,1,drug_anchor_not_uniquely_validated
24,3729,1,drug_anchor_not_uniquely_validated
25,3438,1,drug_anchor_not_uniquely_validated
25,3477,1,drug_anchor_not_uniquely_validated
