legacy_anchor_drug_id,legacy_anchor_drug_name,term_kind,legacy_synonym_id,normalized_surface_form,provisional_default_rxcui,provisional_default_name,provisional_default_tty,validated_rxcui,validated_name,validated_tty,rxnorm_mapping_rule,override_class
2964,abiraterone,synonym,11642,abiraterone acetate,1100072,abiraterone,IN,2645240,abiraterone / niraparib,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
3068,aceon,synonym,53592,perindopril erbumine,54552,perindopril,IN,388499,indapamide / perindopril,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
3086,acetaminophen,synonym,15120,anacin,161,acetaminophen,IN,214250,aspirin / caffeine,MIN,bn_to_unique_min,single_anchor_to_multi_ingredient_target
3242,actimmune,synonym,20273,betaseron,5882,interferon gamma-1b,IN,72257,interferon beta-1b,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
3242,actimmune,synonym,40313,interferon alfa-2b,5882,interferon gamma-1b,IN,5880,interferon alfa-2b,IN,exact_in,incompatible_ingredient_target_reassigned
3242,actimmune,synonym,40341,interferon beta-1b,5882,interferon gamma-1b,IN,72257,interferon beta-1b,IN,exact_in,incompatible_ingredient_target_reassigned
3242,actimmune,synonym,57710,recombinant interferon beta-1b,5882,interferon gamma-1b,IN,72257,interferon beta-1b,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
3273,acyclovir,synonym,12491,acv tripeptide,281,acyclovir,IN,1551571,acv tripeptide,IN,exact_in,incompatible_ingredient_target_reassigned
3489,afatinib,synonym,56980,quizartinib,1430438,afatinib,IN,2643048,quizartinib,IN,exact_in,incompatible_ingredient_target_reassigned
3489,afatinib,synonym,67398,vanflyta,1430438,afatinib,IN,2643048,quizartinib,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
3519,agalsidase alfa,synonym,14228,alpha-d-galactosidase enzyme,2691830,agalsidase alfa,IN,259351,alpha-d-galactosidase enzyme,IN,exact_in,incompatible_ingredient_target_reassigned
3649,alcaine,synonym,56029,proparacaine hydrochloride,34905,proparacaine,IN,466457,fluorescein / proparacaine,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
3708,alendronate,synonym,13551,alendronic acid,46041,alendronate,IN,1007560,alendronate / cholecalciferol,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
3753,alginic acid,synonym,13598,alginate,17305,alginic acid,IN,1370451,alginate,IN,exact_in,incompatible_ingredient_target_reassigned
3816,allegra,synonym,33718,fexofenadine hydrochloride,87636,fexofenadine,IN,214565,fexofenadine / pseudoephedrine,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
4058,alpha-tocopherol succinate,synonym,65324,"tocopheryl acid succinate,d-alpha",11256,vitamin e,IN,314875,"tocopheryl acid succinate,d-alpha",IN,exact_in,incompatible_ingredient_target_reassigned
4111,altretamine,synonym,45395,melamine,5296,altretamine,IN,1603851,melamine,IN,exact_in,incompatible_ingredient_target_reassigned
4111,altretamine,synonym,45827,methenamine,5296,altretamine,IN,6832,methenamine,IN,exact_in,incompatible_ingredient_target_reassigned
4273,amifostine,synonym,32607,ethanethiol,4126,amifostine,IN,1314352,ethanethiol,IN,exact_in,incompatible_ingredient_target_reassigned
5478,aponvie,synonym,34299,focinvez,358255,aprepitant,IN,1731071,fosaprepitant,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
5478,aponvie,synonym,34424,fosaprepitant,358255,aprepitant,IN,1731071,fosaprepitant,IN,exact_in,incompatible_ingredient_target_reassigned
5478,aponvie,synonym,34425,fosaprepitant dimeglumine,358255,aprepitant,IN,1731071,fosaprepitant,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
5625,arixtra,synonym,53388,pentaerythritol tetranitrate,321208,fondaparinux,IN,33055,pentaerythritol,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
5744,ascorbic acid,synonym,12129,acetylsalicylate sodium,1151,ascorbic acid,IN,1191,aspirin,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
5744,ascorbic acid,synonym,17464,ascorbate,1151,ascorbic acid,IN,1370460,ascorbate,IN,exact_in,incompatible_ingredient_target_reassigned
5744,ascorbic acid,synonym,17608,aspirin,1151,ascorbic acid,IN,1191,aspirin,IN,exact_in,incompatible_ingredient_target_reassigned
