anchor_drug_id,canonical_rxcui,canonical_drug_name,canonical_tty
1,2169961,(4-(trifluoromethoxy)phenyl)urea,IN
2,1360626,"(all-z)-4,7,10,13,16-docosapentaenoic acid",IN
3,1798386,"1,1'-oxybis(2-propanol)",IN
4,1487139,"1,1,2,2-tetrafluoroethane",IN
5,1362577,"1,2,6-hexanetriol",IN
6,1367191,"1,2-dibromo-3-chloropropane",IN
7,2119816,"1,2-dilinoleoyl-sn-glycero-3-phosphocholine",IN
8,1426933,"1,2-distearoyllecithin",IN
9,1549115,"1,2-docosahexanoyl-sn-glycero-3-phosphoserine",IN
10,1362584,"1,2-hexanediol",IN
11,1549117,"1,2-icosapentoyl-sn-glycero-3-phosphoserine",IN
12,1363571,"1,2-octanediol",IN
13,2385341,"1,3-bis((1-methylethyl)amino)propan-2-ol",IN
14,2548035,"1,3-butadiene",IN
15,1310542,"1,3-butylene glycol",IN
16,1363030,"1,3-propanediol",IN
17,319868,"1,4-benzoquinone",IN
18,1307571,"1,4-sorbitan",IN
19,1591920,1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphocholine,IN
20,1591921,1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphoethanolamine,IN
21,2469243,1-chloro-2-methyl-1-propene,IN
22,1426374,1-glyceryl monooleate,IN
23,1305552,1-methyl-2-pyrrolidinone,IN
24,2287736,1-o-tetradecylglycerol,IN
25,12166,1-octacosanol,IN
26,1487826,1-octanol,IN
27,1440971,1-palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),IN
28,1362872,1-propanol,IN
29,5542,17-alpha-hydroxyprogesterone,IN
30,2642189,2'-deoxyadenosine,IN
31,2642210,2'-deoxyguanosine,IN
32,1733688,2'-fucosyllactose,IN
33,1306112,"2,2'-dithiobisbenzothiazole",IN
34,1368138,"2,2-bis(4-glycidyloxyphenyl)propane",IN
35,2267021,"2,2-bis(4-hydroxy-3-tert-butylphenyl)propane",IN
36,2288812,"2,3-dichloro-5,6-dicyanobenzoquinone",IN
37,1546352,"2,3-dimercapto-1-propanesulfonic acid",IN
38,2049985,2-(cyclohexylamino)ethanesulfonic acid,IN
39,1428832,2-(l-menthoxy)ethanol,IN
40,2360130,2-(n-morpholino)ethanesulfonic acid,IN
41,1665683,2-amino-5-nitrothiazole,IN
42,1740241,2-aminophenol,IN
43,2286250,"2-chloro-4,5-dimethylphenol",IN
44,1733674,2-deoxyglucose,IN
45,1314365,2-ethoxyethanol,IN
46,1546353,2-ethylhexyl 4-phenylbenzophenone-2'-carboxylate,IN
47,1313732,2-ethylhexyl benzoate,IN
48,1362692,2-hydroxyethyl methacrylate,IN
49,1358845,2-mercaptobenzothiazole,IN
50,1546354,2-mercaptoethanesulfonic acid,IN
51,1367166,2-methyl-4-isothiazolin-3-one,IN
52,2372437,2-nitropropane,IN
53,2533837,2-octyl cyanoacrylate,IN
54,1362739,2-tert-butylhydroquinone,IN
55,1603521,"3,3'-diindolylmethane",IN
56,14448,3-iodobenzylguanidine,IN
57,1484499,3-n-butylphthalide,IN
58,74,4-aminobenzoic acid,IN
59,7832,4-aminohippuric acid,IN
60,1435279,4-aminophenol,IN
61,1485787,4-coumaric acid,IN
62,15027,4-dimethylaminophenol,IN
63,1649527,4-hydroxybenzoic acid,IN
64,2692023,4-methyl-5-thiazoleethanol,IN
65,1362740,4-phenylenediamine,IN
66,94,5-hydroxytryptophan,IN
67,1313305,"5-hydroxytryptophan, dl-",IN
68,15842,5-methoxypsoralen,IN
69,15850,5-methyl-8-hydroxyquinoline,IN
70,1313966,5-methyltetrahydrofolic acid,IN
71,99,6-aminocaproic acid,IN
72,1990418,7-aminodesacetoxycephalosporanic acid,IN
73,1722234,8-epi-cyanocobalamin,IN
74,190521,abacavir,IN
75,1546887,abacavir / dolutegravir / lamivudine,MIN
76,614534,abacavir / lamivudine,MIN
77,284620,abacavir / lamivudine / zidovudine,MIN
78,1921069,abaloparatide,IN
79,2475532,abametapir,IN
80,301739,abarelix,IN
81,614391,abatacept,IN
82,83929,abciximab,IN
83,1946825,abemaciclib,IN
84,1311600,abetimus,IN
85,1100072,abiraterone,IN
86,2645240,abiraterone / niraparib,MIN
87,2591476,abrocitinib,IN
88,1986808,acalabrutinib,IN
89,82819,acamprosate,IN
90,16681,acarbose,IN
91,149,acebutolol,IN
92,16688,acecarbromal,IN
93,2721766,aceclidine,IN
94,16689,aceclofenac,IN
95,1426379,aceglutamide,IN
96,1426875,acemannan,IN
97,16695,acemetacin,IN
98,2613559,aceneuramate,IN
99,154,acenocoumarol,IN
100,155,acepromazine,IN
101,161203,aceprometazine,IN
102,1310546,acesulfame,IN
103,1311137,acetaldehyde,IN
104,2475952,acetamide,IN
105,161,acetaminophen,IN
106,466584,acetaminophen / aspirin / caffeine,MIN
107,214130,acetaminophen / butalbital / caffeine,MIN
108,1007119,acetaminophen / chlorpheniramine / dextromethorphan / phenylpropanolamine,MIN
109,817579,acetaminophen / codeine,MIN
110,214183,acetaminophen / oxycodone,MIN
111,214156,acetaminophen / pamabrom / pyrilamine,MIN
112,352362,acetaminophen / tramadol,MIN
113,164,acetate,IN
114,167,acetazolamide,IN
115,236300,acetiamine,IN
116,168,acetic acid,IN
117,1370450,acetic anhydride,IN
118,173,acetohexamide,IN
119,16728,acetohydroxamic acid,IN
120,178,acetone,IN
121,16735,acetophenazine,IN
122,2467143,acetophenone,IN
123,16784,acetoxolone,IN
124,1490796,acetyl coenzyme a,IN
125,1314329,acetyl hexapeptide-8,IN
126,193,acetylcarnitine,IN
127,194,acetylcholine,IN
128,197,acetylcysteine,IN
129,132871,acetyldigitoxin,IN
130,200,acetylene,IN
131,1362881,acetyltributyl citrate,IN
132,15978,acexamic acid,IN
133,16817,acipimox,IN
134,16818,acitretin,IN
135,239,aclarubicin,IN
