legacy_anchor_drug_id,canonical_rxcui,anchor_drug_id,canonical_drug_name,canonical_tty,default_rule
359,2169961,1,(4-(trifluoromethoxy)phenyl)urea,IN,direct_anchor_exact_rxnorm
379,28730,3008,limonene,IN,unique_convergent_term_evidence
606,1487139,4,"1,1,2,2-tetrafluoroethane",IN,direct_anchor_exact_rxnorm
607,1872047,3636,o-phenanthroline,IN,unique_convergent_term_evidence
615,1362577,5,"1,2,6-hexanetriol",IN,direct_anchor_exact_rxnorm
619,1367191,6,"1,2-dibromo-3-chloropropane",IN,direct_anchor_exact_rxnorm
629,1426933,8,"1,2-distearoyllecithin",IN,direct_anchor_exact_rxnorm
631,1549115,9,"1,2-docosahexanoyl-sn-glycero-3-phosphoserine",IN,direct_anchor_exact_rxnorm
633,1362584,10,"1,2-hexanediol",IN,direct_anchor_exact_rxnorm
634,1549117,11,"1,2-icosapentoyl-sn-glycero-3-phosphoserine",IN,direct_anchor_exact_rxnorm
643,2385341,13,"1,3-bis((1-methylethyl)amino)propan-2-ol",IN,direct_anchor_exact_rxnorm
646,2548035,14,"1,3-butadiene",IN,direct_anchor_exact_rxnorm
654,1363030,16,"1,3-propanediol",IN,direct_anchor_exact_rxnorm
656,319868,17,"1,4-benzoquinone",IN,direct_anchor_exact_rxnorm
660,2383534,1715,dioxane,IN,unique_convergent_term_evidence
729,1591920,19,1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphocholine,IN,direct_anchor_exact_rxnorm
730,1591921,20,1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphoethanolamine,IN,direct_anchor_exact_rxnorm
799,2469243,21,1-chloro-2-methyl-1-propene,IN,direct_anchor_exact_rxnorm
814,1362875,1752,dodecanol,IN,unique_convergent_term_evidence
852,1440971,27,1-palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),IN,direct_anchor_exact_rxnorm
958,2642189,30,2'-deoxyadenosine,IN,direct_anchor_exact_rxnorm
963,2642210,31,2'-deoxyguanosine,IN,direct_anchor_exact_rxnorm
975,1733688,32,2'-fucosyllactose,IN,direct_anchor_exact_rxnorm
985,1306112,33,"2,2'-dithiobisbenzothiazole",IN,unique_convergent_term_evidence
990,2267021,35,"2,2-bis(4-hydroxy-3-tert-butylphenyl)propane",IN,direct_anchor_exact_rxnorm
1005,2288812,36,"2,3-dichloro-5,6-dicyanobenzoquinone",IN,direct_anchor_exact_rxnorm
1012,1546352,37,"2,3-dimercapto-1-propanesulfonic acid",IN,direct_anchor_exact_rxnorm
1167,1428832,39,2-(l-menthoxy)ethanol,IN,direct_anchor_exact_rxnorm
1170,2360130,40,2-(n-morpholino)ethanesulfonic acid,IN,direct_anchor_exact_rxnorm
1289,1665683,41,2-amino-5-nitrothiazole,IN,direct_anchor_exact_rxnorm
1308,1740241,42,2-aminophenol,IN,direct_anchor_exact_rxnorm
1328,2286250,43,"2-chloro-4,5-dimethylphenol",IN,direct_anchor_exact_rxnorm
1359,1733674,44,2-deoxyglucose,IN,direct_anchor_exact_rxnorm
1361,1314365,45,2-ethoxyethanol,IN,direct_anchor_exact_rxnorm
1363,1546353,46,2-ethylhexyl 4-phenylbenzophenone-2'-carboxylate,IN,direct_anchor_exact_rxnorm
1364,1313732,47,2-ethylhexyl benzoate,IN,direct_anchor_exact_rxnorm
1391,1362692,48,2-hydroxyethyl methacrylate,IN,direct_anchor_exact_rxnorm
1404,1358845,49,2-mercaptobenzothiazole,IN,direct_anchor_exact_rxnorm
1423,2372437,52,2-nitropropane,IN,direct_anchor_exact_rxnorm
1431,2533837,53,2-octyl cyanoacrylate,IN,direct_anchor_exact_rxnorm
1482,1894,901,calcitriol,IN,direct_anchor_exact_rxnorm
1514,1603521,55,"3,3'-diindolylmethane",IN,direct_anchor_exact_rxnorm
2097,15027,62,4-dimethylaminophenol,IN,direct_anchor_exact_rxnorm
2120,1649527,63,4-hydroxybenzoic acid,IN,direct_anchor_exact_rxnorm
2298,2692023,64,4-methyl-5-thiazoleethanol,IN,unique_convergent_term_evidence
2473,15850,69,5-methyl-8-hydroxyquinoline,IN,direct_anchor_exact_rxnorm
2480,1313966,70,5-methyltetrahydrofolic acid,IN,direct_anchor_exact_rxnorm
2675,1990418,72,7-aminodesacetoxycephalosporanic acid,IN,direct_anchor_exact_rxnorm
2733,1722234,73,8-epi-cyanocobalamin,IN,direct_anchor_exact_rxnorm
2744,10122,4787,strontium,IN,direct_anchor_exact_rxnorm
2909,190521,74,abacavir,IN,direct_anchor_exact_rxnorm
2916,1921069,78,abaloparatide,IN,direct_anchor_exact_rxnorm
2918,2475532,79,abametapir,IN,direct_anchor_exact_rxnorm
2921,301739,80,abarelix,IN,direct_anchor_exact_rxnorm
2922,614391,81,abatacept,IN,direct_anchor_exact_rxnorm
2931,83929,82,abciximab,IN,direct_anchor_exact_rxnorm
2934,2536430,2645,idecabtagene vicleucel,IN,direct_anchor_exact_rxnorm
2939,1946825,83,abemaciclib,IN,direct_anchor_exact_rxnorm
2945,1311600,84,abetimus,IN,direct_anchor_exact_rxnorm
2946,1311600,84,abetimus,IN,direct_anchor_exact_rxnorm
2951,1540882,2441,glycolide,IN,unique_convergent_term_evidence
2953,89013,443,aripiprazole,IN,direct_anchor_exact_rxnorm
2964,1100072,85,abiraterone,IN,direct_anchor_exact_rxnorm
2982,56946,3781,paclitaxel,IN,direct_anchor_exact_rxnorm
2986,2591476,87,abrocitinib,IN,direct_anchor_exact_rxnorm
2993,6064,2821,isotretinoin,IN,direct_anchor_exact_rxnorm
3019,905301,428,arabic gum allergenic extract,IN,unique_convergent_term_evidence
3020,895353,1379,cootamundra wattle pollen extract,IN,unique_convergent_term_evidence
3025,1986808,88,acalabrutinib,IN,direct_anchor_exact_rxnorm
3027,82819,89,acamprosate,IN,direct_anchor_exact_rxnorm
3028,82819,89,acamprosate,IN,direct_anchor_exact_rxnorm
3031,16681,90,acarbose,IN,direct_anchor_exact_rxnorm
3042,149,91,acebutolol,IN,direct_anchor_exact_rxnorm
3043,149,91,acebutolol,IN,direct_anchor_exact_rxnorm
3046,16688,92,acecarbromal,IN,direct_anchor_exact_rxnorm
3047,2721766,93,aceclidine,IN,direct_anchor_exact_rxnorm
3048,2721766,93,aceclidine,IN,direct_anchor_exact_rxnorm
3050,16689,94,aceclofenac,IN,direct_anchor_exact_rxnorm
3060,1426379,95,aceglutamide,IN,direct_anchor_exact_rxnorm
3061,1426379,95,aceglutamide,IN,direct_anchor_exact_rxnorm
3063,1426875,96,acemannan,IN,direct_anchor_exact_rxnorm
3064,16695,97,acemetacin,IN,direct_anchor_exact_rxnorm
3065,2613559,98,aceneuramate,IN,direct_anchor_exact_rxnorm
3066,154,99,acenocoumarol,IN,direct_anchor_exact_rxnorm
3068,54552,3919,perindopril,IN,direct_anchor_exact_rxnorm
3071,155,100,acepromazine,IN,direct_anchor_exact_rxnorm
3072,155,100,acepromazine,IN,direct_anchor_exact_rxnorm
