normalized_surface_form,match_count,matched_rxcuis,matched_ttys,matched_names,concept_classes,mapping_status,mapping_rule,canonical_rxcui,canonical_name,canonical_tty
'component of lotrisone,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
'compound e acetate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
'sodium borocaptate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
( )-(3-p-bromphenyl-3-pyrid-2'-ylpropyl)dimethylamin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"( )-(4r,5s,6s)-6-((1r)-1-hydroxyethyl)-4-methyl-7-oxo-3-(((3r)-5-oxopyrrolidin-3-yl)sulfanyl)-1-azabicyclo(3.2.0)hept-2-ene-2-carboxylic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"( -)-(12r*,13ar*,13bs*)-2,3,5,6,12,13,13a,13b-octahydro-1h-indolo(3,2,1-de)pyrido(3,2,1-ij)(1,5)naphthyridin-12-ol",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
( -)-1-p-tolyl-3-azabicyclo(3.1.0)hexane,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
( -)-oxazepam succinate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(((1-chloro-4-hydroxyisoquinolin-3-yl)carbonyl)amino)acetic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(((2-((2-(((aminocarbonyl)oxy)methyl)-4-oxo-1-sulfo-3-azetidinyl)amino)-1-(2-amino-4-thiazolyl)-2-oxoethylidene)amino)oxy)acetic acid (2s-(2alpha,3alpha(z)))-",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(((4-((2-amino-4-(((3s)-1-hydroxyhexan-3-yl)amino)-6-methylpyrimidin-5-yl)methyl)-3- methoxyphenyl)methyl)(2,2,2-trifluoroethyl)amino)acetic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(((4-(3-benzyl-4-hydroxybenzyl)-3,5-dimethylphenyl)oxy)methyl)phosphonic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(((4-hydroxy-1-methyl-7-phenoxyisoquinolin-3-yl)carbonyl)amino)acetic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(((p-chlorophenyl)thio)methylene)diphosphonic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
((+)-2-[3-(tert-butylamino) 2-hydroxypropoxy]-2-furananilide),0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"((1r)-1-((2s,3r)-3-hydroxy-2-(6-phenylpyridine-2-carboxamido)butanamido)-3-methylbutyl)boronic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"((2-((r)-2-amino-3-methylbutyramido)-1,1-dimethylethyl)thio)acetic acid, 8-ester with (3as,4r,5s,6s,8r,9r,9ar,10r)-octahydro-5,8- dihydroxy-4,6,9,10-tetramethyl-6-vinyl-3a,9-propano-3ah- cyclopentacycloocten-1(4h)-one hydrochloride",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"((2-(diethylamino)ethyl)thio)-, 6-ethenyldecahydro-5-hydroxy-4,6,9,10-tetramethyl-1-oxo-3a,9-propano-3ah-cyclopentacycloocten-8-yl ester (3as-(3a-alpha,4beta,5alpha,6alpha,8beta,9alpha,9a-beta,10s*))-",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"((2-(diethylamino)ethyl)thio)acetic acid 8-ester with (3as,4r,5s,6s,8r,9r,9ar,10r)-octahydro-5,8-dihydroxy-4,6,9,10)-tetramethyl-6-vinyl-3a,9-propano-3ah-cyclopentacycloocten-1(4h)-one",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"((2-bromoethyl)-2,4-dinitro-6-(((2-(phosphonooxy)ethyl)amino)-carbonyl)anilino)ethyl methanesulphonate",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
((2r)-1-(((3r)-pyrrolidin-3-ylamino)acetyl)pyrrolidin-2-yl)boronic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
((2r)-1-((2s)-2-amino-3-methylbutanoyl)pyrrolidin-2-yl)boronic acid methanesulfonate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
