source_id,synonym_id
7,1
7,2
5,3
5,4
5,5
5,6
5,7
3,8
3,9
5,10
3,11
3,12
3,13
5,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
5,22
3,23
5,24
3,25
3,26
5,27
3,28
3,29
3,30
3,31
5,32
3,33
3,34
3,35
3,36
3,37
3,38
5,38
3,39
3,40
3,41
5,42
5,43
3,44
3,45
3,46
5,47
3,48
5,49
3,50
5,50
3,51
3,52
5,52
3,53
5,53
3,54
3,55
5,56
5,57
3,58
3,59
3,60
3,61
5,62
3,63
5,64
3,65
5,66
3,67
3,68
3,69
3,70
3,71
3,72
3,73
3,74
5,74
3,75
3,76
3,77
3,78
3,79
3,80
3,81
3,82
3,83
3,84
3,85
3,86
3,87
3,88
3,89
3,90
3,91
3,92
5,92
3,93
3,94
3,95
3,96
3,97
5,98
3,99
3,100
3,101
3,102
5,102
3,103
3,104
3,105
3,106
3,107
3,108
3,109
3,110
3,111
3,112
3,113
3,114
3,115
3,116
3,117
3,118
3,119
3,120
3,121
3,122
5,123
3,124
5,125
5,126
3,127
3,128
5,129
5,130
5,131
3,132
5,133
5,134
5,135
5,136
5,137
5,138
3,139
3,140
3,141
3,142
3,143
3,144
3,145
3,146
5,147
3,148
5,149
3,150
3,151
5,152
5,153
3,154
3,155
3,156
3,157
3,158
3,159
3,160
3,161
3,162
5,163
3,164
5,164
5,165
5,166
5,167
5,168
5,169
5,170
3,171
3,172
5,172
5,173
5,174
5,175
3,176
3,177
3,178
3,179
3,180
3,181
5,182
3,183
5,184
3,185
3,186
5,187
3,188
3,189
5,190
5,191
5,192
3,193
5,194
5,195
3,196
5,197
5,198
3,199
5,199
3,200
3,201
5,202
3,203
5,204
5,205
3,206
3,207
5,208
5,209
3,210
5,211
3,212
3,213
3,214
3,215
5,216
3,217
3,218
3,219
5,220
3,221
3,222
3,223
5,224
3,225
3,226
5,227
5,228
3,229
5,230
3,231
3,232
3,233
5,234
3,235
5,236
5,237
3,238
5,239
5,240
3,241
3,242
5,243
5,244
3,245
5,246
5,247
3,248
5,249
3,250
3,251
3,252
3,253
3,254
5,255
5,256
3,257
3,258
5,259
5,260
5,261
3,262
3,263
3,264
5,264
5,265
5,266
5,267
5,268
5,269
5,270
3,271
3,272
3,273
5,274
5,275
3,276
3,277
3,278
3,279
3,280
3,281
3,282
3,283
3,284
5,285
3,286
3,287
5,288
5,289
5,290
3,291
5,292
3,293
3,294
3,295
5,296
5,297
3,298
3,299
3,300
3,301
3,302
3,303
3,304
3,305
3,306
5,307
3,308
3,309
3,310
3,311
5,312
3,313
5,314
3,315
5,316
3,317
3,318
3,319
3,320
5,321
3,322
5,323
3,324
3,325
3,326
3,327
3,328
5,329
3,330
3,331
3,332
5,333
5,334
3,335
5,336
3,337
3,338
3,339
3,340
3,341
5,342
5,343
3,344
3,345
3,346
5,347
5,348
5,349
3,350
3,351
3,352
3,353
3,354
3,355
3,356
5,357
5,358
5,359
3,360
3,361
3,362
3,363
5,364
3,365
3,366
3,367
5,368
3,369
5,370
5,371
5,372
5,373
5,374
3,375
5,375
3,376
3,377
3,378
3,379
5,380
3,381
3,382
3,383
3,384
5,385
3,386
5,387
3,388
3,389
5,390
3,391
3,392
3,393
3,394
3,395
3,396
3,397
5,398
5,399
5,400
3,401
5,402
3,403
5,404
5,405
3,406
5,406
3,407
3,408
3,409
3,410
3,411
3,412
5,413
5,414
5,415
3,416
3,417
3,418
3,419
3,420
3,421
5,422
5,423
5,424
5,425
3,426
3,427
5,428
3,429
5,430
3,431
3,432
3,433
3,434
3,435
5,436
5,437
3,438
3,439
3,440
3,441
5,442
3,443
3,444
5,445
5,446
3,447
3,448
3,449
5,450
3,451
3,452
3,453
5,454
3,455
3,456
3,457
3,458
5,459
3,460
3,461
5,462
5,463
5,464
3,465
3,466
3,467
3,468
5,469
3,470
5,471
5,472
3,473
5,474
3,475
5,476
3,477
3,478
3,479
3,480
3,481
3,482
3,483
3,484
3,485
3,486
3,487
3,488
3,489
3,490
3,491
3,492
3,493
3,494
3,495
3,496
3,497
3,498
3,499
3,500
3,501
5,502
5,503
3,504
3,505
5,506
3,507
3,508
3,509
5,510
3,511
3,512
3,513
3,514
3,515
3,516
5,516
5,517
3,518
5,519
5,520
3,521
3,522
5,523
3,524
5,524
3,525
3,526
3,527
5,528
3,529
3,530
3,531
3,532
5,533
3,534
3,535
3,536
3,537
3,538
3,539
3,540
3,541
3,542
3,543
3,544
3,545
3,546
3,547
3,548
5,549
5,550
5,551
5,552
3,553
5,554
3,555
3,556
5,557
5,558
5,559
5,560
5,561
3,562
5,563
3,564
3,565
3,566
5,567
3,568
3,569
3,570
5,571
5,572
3,573
5,574
5,575
5,576
3,577
5,578
3,579
3,580
3,581
5,582
5,583
5,584
3,585
5,586
3,587
3,588
3,589
5,590
3,591
5,592
3,593
3,594
5,595
3,596
5,596
5,597
3,598
5,599
3,600
3,601
3,602
3,603
3,604
3,605
3,606
3,607
3,608
3,609
3,610
3,611
3,612
3,613
5,613
3,614
3,615
3,616
3,617
3,618
5,619
3,620
5,621
3,622
5,623
3,624
3,625
4,625
5,625
3,626
3,627
3,628
5,629
5,630
5,631
5,632
5,633
5,634
3,635
3,636
3,637
5,638
5,639
5,640
3,641
3,642
3,643
5,644
3,645
3,646
3,647
5,648
3,649
3,650
3,651
5,651
3,652
5,653
3,654
3,655
5,656
3,657
5,658
3,659
3,660
5,661
3,662
5,663
3,664
5,664
3,665
3,666
3,667
5,668
3,669
3,670
5,670
3,671
5,671
3,672
5,673
3,674
3,675
3,676
5,676
3,677
5,678
5,679
3,680
3,681
3,682
3,683
3,684
3,685
3,686
3,687
3,688
3,689
3,690
3,691
3,692
3,693
3,694
5,695
3,696
3,697
3,698
3,699
3,700
3,701
5,701
3,702
3,703
5,704
3,705
5,706
5,707
3,708
3,709
3,710
3,711
3,712
3,713
5,714
5,715
3,716
3,717
5,717
5,718
3,719
3,720
3,721
3,722
3,723
3,724
3,725
3,726
3,727
3,728
3,729
3,730
5,731
5,732
3,733
3,734
3,735
3,736
3,737
5,738
3,739
5,740
3,741
3,742
3,743
3,744
3,745
3,746
3,747
3,748
3,749
3,750
3,751
5,752
5,753
3,754
5,755
3,756
5,757
3,758
3,759
3,760
3,761
3,762
5,763
3,764
5,765
3,766
3,767
3,768
3,769
3,770
3,771
3,772
3,773
3,774
3,775
3,776
3,777
3,778
5,779
3,780
3,781
3,782
3,783
3,784
3,785
5,785
3,786
3,787
3,788
3,789
3,790
3,791
3,792
5,792
5,793
3,794
3,795
5,796
5,797
7,798
3,799
5,800
5,801
3,802
3,803
3,804
5,805
5,806
3,807
3,808
3,809
2,810
3,811
3,812
5,812
3,813
3,814
3,815
5,816
5,817
3,818
3,819
5,819
5,820
5,821
3,822
3,823
3,824
3,825
3,826
3,827
3,828
3,829
3,830
3,831
3,832
3,833
5,833
3,834
5,835
3,836
3,837
3,838
3,839
3,840
3,841
3,842
3,843
5,843
3,844
5,845
3,846
3,847
3,848
3,849
3,850
3,851
3,852
5,853
3,854
3,855
5,855
3,856
5,857
3,858
3,859
5,860
3,861
3,862
3,863
3,864
3,865
5,866
5,867
3,868
3,869
3,870
3,871
3,872
3,873
5,874
5,875
3,876
3,877
3,878
3,879
3,880
3,881
3,882
5,882
3,883
3,884
3,885
3,886
3,887
3,888
3,889
5,890
3,891
3,892
3,893
3,894
3,895
3,896
3,897
3,898
3,899
3,900
3,901
3,902
5,902
5,903
3,904
3,905
3,906
3,907
3,908
5,909
3,910
3,911
5,912
5,913
3,914
5,915
3,916
3,917
3,918
5,919
3,920
5,921
3,922
3,923
3,924
3,925
5,926
3,927
3,928
3,929
3,930
3,931
3,932
3,933
3,934
3,935
3,936
3,937
3,938
3,939
5,940
5,941
3,942
3,943
3,944
3,945
3,946
3,947
3,948
3,949
3,950
3,951
5,952
3,953
3,954
5,955
3,956
3,957
3,958
3,959
3,960
3,961
3,962
3,963
3,964
3,965
3,966
5,967
3,968
3,969
3,970
3,971
3,972
3,973
3,974
3,975
3,976
5,977
3,978
3,979
3,980
3,981
3,982
3,983
3,984
3,985
3,986
3,987
3,988
3,989
3,990
3,991
3,992
3,993
3,994
5,995
3,996
3,997
5,998
3,999
3,1000
3,1001
3,1002
5,1002
5,1003
3,1004
3,1005
3,1006
3,1007
5,1008
3,1009
3,1010
3,1011
3,1012
3,1013
5,1014
3,1015
3,1016
3,1017
3,1018
3,1019
3,1020
3,1021
3,1022
5,1023
3,1024
3,1025
3,1026
3,1027
3,1028
3,1029
3,1030
3,1031
3,1032
3,1033
3,1034
