anchor_drug_id,anchor_drug_name
1,(4-(trifluoromethoxy)phenyl)urea
2,"(all-z)-4,7,10,13,16-docosapentaenoic acid"
3,"1,1'-oxybis(2-propanol)"
4,"1,1,2,2-tetrafluoroethane"
5,"1,2,6-hexanetriol"
6,"1,2-dibromo-3-chloropropane"
7,"1,2-dilinoleoyl-sn-glycero-3-phosphocholine"
8,"1,2-distearoyllecithin"
9,"1,2-docosahexanoyl-sn-glycero-3-phosphoserine"
10,"1,2-hexanediol"
11,"1,2-icosapentoyl-sn-glycero-3-phosphoserine"
12,"1,2-octanediol"
13,"1,3-bis((1-methylethyl)amino)propan-2-ol"
14,"1,3-butadiene"
15,"1,3-butylene glycol"
16,"1,3-propanediol"
17,"1,4-benzoquinone"
18,"1,4-sorbitan"
19,1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphocholine
20,1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphoethanolamine
21,1-chloro-2-methyl-1-propene
22,1-glyceryl monooleate
23,1-methyl-2-pyrrolidinone
24,1-o-tetradecylglycerol
25,1-octacosanol
26,1-octanol
27,1-palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol))
28,1-propanol
29,17-alpha-hydroxyprogesterone
30,2'-deoxyadenosine
31,2'-deoxyguanosine
32,2'-fucosyllactose
33,"2,2'-dithiobisbenzothiazole"
34,"2,2-bis(4-glycidyloxyphenyl)propane"
35,"2,2-bis(4-hydroxy-3-tert-butylphenyl)propane"
36,"2,3-dichloro-5,6-dicyanobenzoquinone"
37,"2,3-dimercapto-1-propanesulfonic acid"
38,2-(cyclohexylamino)ethanesulfonic acid
39,2-(l-menthoxy)ethanol
40,2-(n-morpholino)ethanesulfonic acid
41,2-amino-5-nitrothiazole
42,2-aminophenol
43,"2-chloro-4,5-dimethylphenol"
44,2-deoxyglucose
45,2-ethoxyethanol
46,2-ethylhexyl 4-phenylbenzophenone-2'-carboxylate
47,2-ethylhexyl benzoate
48,2-hydroxyethyl methacrylate
49,2-mercaptobenzothiazole
50,2-mercaptoethanesulfonic acid
51,2-methyl-4-isothiazolin-3-one
52,2-nitropropane
53,2-octyl cyanoacrylate
