synonym_id,anchor_drug_id,synonym_name
1,2578,'component of lotrisone
2,1391,'compound e acetate
3,1586,( )-(3-p-bromphenyl-3-pyrid-2'-ylpropyl)dimethylamin
4,5058,(((p-chlorophenyl)thio)methylene)diphosphonic acid
5,5288,"((2-((r)-2-amino-3-methylbutyramido)-1,1-dimethylethyl)thio)acetic acid, 8-ester with (3as,4r,5s,6s,8r,9r,9ar,10r)-octahydro-5,8- dihydroxy-4,6,9,10-tetramethyl-6-vinyl-3a,9-propano-3ah- cyclopentacycloocten-1(4h)-one hydrochloride"
6,5037,"((2-(diethylamino)ethyl)thio)-, 6-ethenyldecahydro-5-hydroxy-4,6,9,10-tetramethyl-1-oxo-3a,9-propano-3ah-cyclopentacycloocten-8-yl ester (3as-(3a-alpha,4beta,5alpha,6alpha,8beta,9alpha,9a-beta,10s*))-"
7,5037,"((2-(diethylamino)ethyl)thio)acetic acid 8-ester with (3as,4r,5s,6s,8r,9r,9ar,10r)-octahydro-5,8-dihydroxy-4,6,9,10)-tetramethyl-6-vinyl-3a,9-propano-3ah-cyclopentacycloocten-1(4h)-one"
8,153,"((2s)-4-(7-(8-chloronaphthalen-1-yl)-2-(((2s)-1- methylpyrrolidin-2-yl)methoxy)-5,6,7,8- tetrahydropyrido(3,4-d)pyrimidin-4-yl)-1-(2-fluoroprop2-enoyl)piperazin-2-yl)acetonitrile"
9,56,((3-iodophenyl)methyl)guanidine
10,4375,"((4ar)-1-(4-fluorophenyl)-6-(1-methyl-1h-pyrazole-4-sulfonyl)-1,4,5,6,7,8-hexahydro-4ah-pyrazolo(3,4-g)isoquinolin-4a-yl)(4-(trifluoromethyl)pyridin-2-yl)methanone"
11,1402,((amino(imino)methyl)(methyl)amino)acetic acid
12,4279,(+) threo-2-(methylamino)-1-phenyl-1-propanol
13,4279,"(+)-(1s,2s)-pseudoephedrine"
14,1274,(+)-(2r)-2-(2-(((r)-p-chloro-alpha-methyl-alpha-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine
