regimen_id,anchor_drug_id,source_id
1,1467,1
1,2224,1
1,2632,1
1,4444,1
4,2642,1
6,2642,1
7,1490,1
7,1490,7
7,1746,1
7,3781,1
8,2386,1
9,2358,1
10,3357,1
11,170,1
12,4698,1
13,2642,1
14,2642,1
14,3811,1
15,170,1
15,2642,1
16,2642,1
16,4698,1
17,2642,1
17,5369,1
18,3388,1
19,2642,1
20,2642,7
20,3388,7
21,794,1
21,1490,1
22,204,1
22,1467,1
22,5339,1
23,1467,1
23,2247,1
23,3293,1
24,1467,1
24,3240,1
24,3857,1
24,5339,1
25,1467,1
25,3857,1
25,5003,1
25,5339,1
26,80,1
27,707,1
27,1015,1
27,3781,1
28,762,7
28,1490,7
28,3049,7
29,762,7
29,1028,1
29,1467,1
29,1467,7
29,3208,1
29,3386,7
30,494,1
30,707,1
30,1015,1
30,3781,1
31,762,7
31,1490,7
32,762,1
32,762,7
32,1490,1
32,1490,7
32,3049,1
32,3049,7
33,83,1
33,376,1
34,83,1
35,83,1
35,2312,1
36,83,1
36,2963,1
37,83,1
38,85,1
38,411,1
39,86,1
40,85,1
40,3667,1
41,85,1
42,762,1
43,762,1
43,5339,1
44,762,1
44,762,7
44,1490,1
44,1490,7
45,762,1
45,1490,1
46,762,1
46,1490,1
47,762,1
47,762,7
47,2060,1
47,2060,7
47,5339,1
47,5339,7
48,762,1
48,762,7
48,1467,1
48,1467,7
48,2060,1
48,2060,7
48,5339,1
48,5339,7
49,1467,1
49,2247,1
49,3293,1
50,1467,1
50,1746,1
51,1467,1
51,5139,1
52,1467,1
52,1467,7
52,3781,1
52,3781,7
53,1015,1
53,1467,1
53,1746,1
53,3781,1
53,5078,1
53,5139,1
54,1467,1
54,2918,1
54,3781,1
54,5139,1
55,1467,1
55,1746,1
55,3781,1
55,3924,1
55,5139,1
56,1467,1
56,1746,1
56,2569,1
57,1467,1
57,2918,1
57,3781,1
58,88,1
58,3643,1
59,88,1
60,762,1
60,1255,1
60,2060,1
61,1467,1
61,2060,1
62,1467,1
62,5139,1
63,1467,7
63,5339,7
64,1467,1
64,3293,1
64,5339,1
65,1467,7
65,4215,7
65,5339,7
66,1467,1
66,1467,7
66,1746,1
66,1746,7
66,4890,1
67,1467,7
67,1494,7
67,2247,7
68,762,1
68,762,7
68,1467,1
68,1467,7
68,2060,1
68,2651,1
68,3293,1
69,153,1
69,1128,1
70,153,1
71,2060,1
71,2060,7
72,2060,1
72,5148,1
73,2060,1
73,2358,1
