regimen_id,regimen_name
1,(90)yfc
2,131iodine-tositumomab monotherapy
3,5 plus 2d
4,5 plus 2i
5,5 plus 3d
6,5 plus 3i
7,7 plus 3d
8,7 plus 3d and glasdegib
9,7 plus 3d and go
10,7 plus 3d and midostaurin
11,7 plus 3d and quizartinib
12,7 plus 3d and sorafenib
13,7 plus 3i
14,7 plus 3i and panobinostat
15,7 plus 3i and quizartinib
16,7 plus 3i and sorafenib
17,7 plus 3i and vorinostat
18,7 plus 3m
19,7 plus 5i
20,7+3
21,a-avd
22,a-chop
23,a-cmf
24,aall0232 consolidation
25,aall0932 delayed intensification
26,abarelix monotherapy
27,abc
28,abcd
29,abcm
30,abcp
31,abd
32,abdic
33,abemaciclib and anastrozole
34,abemaciclib and et
35,abemaciclib and fulvestrant
36,abemaciclib and letrozole
37,abemaciclib monotherapy
38,abiraterone and apalutamide
39,abiraterone and niraparib
40,abiraterone and olaparib
41,abiraterone monotherapy
42,abp
43,abv (vinblastine)
44,abvd
45,"abvd, dd-di"
46,abvdm
47,abve
48,abve-pc
49,ac-cmf
50,ac-d
51,ac-h
52,ac-t
53,ac-th (docetaxel)
54,ac-thl (paclitaxel)
55,ac-thp (docetaxel)
56,"ac-thp (docetaxel, phesgo)"
57,ac-tl (paclitaxel)
58,acalabrutinib and obinutuzumab
59,acalabrutinib monotherapy
60,accelerated bep
61,acep
62,ach
63,acoap
64,acomla
65,acopp
66,act
67,act-fu-cy
68,acvbp
69,adagrasib and cetuximab
70,adagrasib monotherapy
71,ade (high-dose ara-c)
72,ade and atra
73,ade and go
74,adm
75,adoc
76,adria-l-pam
77,adt
78,adt and abiraterone
79,adt and apalutamide
80,adt and bicalutamide
81,adt and darolutamide
82,adt and docetaxel
83,adt and enzalutamide
84,adt and flutamide
85,adt and nilutamide
86,adt and rt
87,"adt, darolutamide, docetaxel"
88,"adt, enzalutamide, talazoparib"
89,afatinib and bevacizumab
90,afatinib and cetuximab
91,afatinib and paclitaxel
92,afatinib monotherapy
93,aie
94,alectinib monotherapy
95,alemtuzumab and methylprednisolone
96,alemtuzumab and rituximab
97,alemtuzumab monotherapy
98,alitretinoin monotherapy
99,alomad
100,alpelisib and fulvestrant
101,altretamine and cisplatin (hd)
102,altretamine monotherapy
103,aminoglutethimide monotherapy
104,amivantamab monotherapy
105,amoxicillin and omemprazole
106,"amoxicillin, clarithromycin, ppi, bismuth"
107,amrubicin monotherapy
108,amsacrine and hidac
109,anagrelide monotherapy
110,anakinra monotherapy
111,anastrozole and fulvestrant
112,anastrozole and goserelin
113,anastrozole and palbociclib
114,anastrozole and ribociclib
115,anastrozole and trastuzumab
116,anastrozole monotherapy
117,"anastrozole, goserelin, palbociclib"
118,"anastrozole, lapatinib, trastuzumab"
119,anlotinib monotherapy
120,apalutamide monotherapy
121,apatinib and camrelizumab
122,apatinib and gefitinib
123,apatinib monotherapy
124,apixaban monotherapy
125,apo
126,apo regimen
127,ara-c + dnr + pred + mp
128,ara-c-hu
129,ara-c/mtx
130,argatroban monotherapy
131,arsenic trioxide and atra
132,arsenic trioxide and chlorambucil
133,arsenic trioxide and idarubicin
134,arsenic trioxide monotherapy
135,"arsenic trioxide, atra, gemtuzumab ozogamicin"
136,"arsenic trioxide, atra, idarubicin"
137,arsenic trioxide-atra and daunorubicin
138,asciminib monotherapy
139,ashap
140,ashap/m-bacos
141,aspametdex
142,aspirin and anagrelide
143,aspirin and hydroxyurea
144,aspirin and warfarin
145,aspirin monotherapy
146,at-cmf
147,atezolizumab and bevacizumab
148,atezolizumab monotherapy
149,atg (horse) and cyclosporine
150,atg (horse) monotherapy
151,"atg (horse), cyclosporine, eltrombopag"
152,"atg (horse), cyclosporine, g-csf"
153,"atg (horse), cyclosporine, sirolimus"
154,atg (rabbit) and cyclosporine
155,atra (263)
156,atra and danazol
157,atra and daunorubicin
158,atra and idarubicin
159,atra monotherapy
160,"atra, cytarabine, daunorubicin"
161,"atra, cytarabine, idarubicin"
162,"atra, mercaptopurine, methotrexate"
163,augmented hyper-cvad/ma and asparaginase
164,aumolertinib monotherapy
165,avapritinib monotherapy
166,avatrombopag monotherapy
167,avcf
168,avd
169,avelumab monotherapy
170,avo
171,axicabtagene ciloleucel monotherapy
172,axitinib and avelumab
173,axitinib and pembrolizumab
174,axitinib and tace
175,axitinib and toripalimab
176,axitinib monotherapy
177,azacitidine and gemtuzumab ozogamicin
178,azacitidine and ivosidenib
179,azacitidine and lenalidomide
180,azacitidine and sorafenib
181,azacitidine and venetoclax
182,azacitidine and vorinostat
183,azacitidine monotherapy
184,azacitidine oral monotherapy
185,"azacitidine, vorinostat, gemtuzumab ozogamicin"
186,b-cave
187,b-dopa
188,baby pog i protocol
189,bac
190,baco
191,bacod
192,bacon
193,bamon
194,basic
195,bat
196,bavip
197,bbd
198,bbvp-m
199,bcap
200,bcave
201,bcd
202,bcg and dacarbazine
203,bcg vaccine monotherapy
204,bchop
205,bcmf
206,bcnu/tt
207,bcop
208,bcvpp
209,bcvpp-bleo
210,bdr
211,beac
212,beacopp
213,beacopp-14
214,beam
215,beeam
216,begev
217,belantamab mafodotin monotherapy
218,belinostat monotherapy
219,belotecan and cisplatin
220,belzutifan monotherapy
221,bemp
222,bendamustine and brentuximab vedotin
223,bendamustine and dexamethasone
224,bendamustine and obinutuzumab
225,bendamustine and ofatumumab
226,bendamustine and rituximab (br)
227,bendamustine and rituximab (br) and ibrutinib
228,bendamustine and rituximab (br) and idelalisib
229,bendamustine and rituximab (br) and polatuzumab vedotin
230,bendamustine monotherapy
231,benralizumab monotherapy
232,bep
233,bert
234,betrixaban monotherapy
235,bevacizumab + ifl
236,bevacizumab and interferon alfa-2a
237,bevacizumab and rituximab
238,bevacizumab and rt
239,bevacizumab monotherapy
240,bexarotene and pralatrexate
241,bexarotene monotherapy
242,bfr
243,bhd
244,bicalutamide and goserelin
245,bicalutamide and leuprolide
246,bicalutamide and rt
247,bicalutamide monotherapy
248,bid
249,binimetinib and encorafenib
250,binimetinib monotherapy
251,"binimetinib, encorafenib, cetuximab"
252,bird
253,bld
254,bleo-comf
255,bleomycin and cisplatin
256,bleomycin and vinblastine
257,bleomycin and vincristine (bo)
258,"bleomycin, methotrexate, vinblastine/rt"
259,blinatumomab monotherapy
260,bmp
261,bold
