row_id,interventions_id,clinical_trial_id,name,other_name,source_id
1,3889277,NCT03281187,Nasotestt 5 mg,Test Group,6
2,3889278,NCT03281187,Androgel 50 mg,Active Comparator Group,6
3,3889297,NCT01026987,G-CSF,Neupogen,6
4,3889298,NCT01026987,AMD3100,Mozobil,6
5,3889298,NCT01026987,AMD3100,Plerixafor,6
6,3889322,NCT02654587,Docetaxel,Taxotere,6
7,3889323,NCT02654587,Pemetrexed,Alimta,6
8,3889390,NCT04451187,Seltorexant Dose 1,JNJ-42847922,6
9,3889391,NCT04451187,Seltorexant Dose 2,JNJ-42847922,6
10,3889435,NCT06440187,Gemcitabine+ nivolumab,Experimental group,6
11,3889476,NCT02807779,Dexamethasone infusion,microinfusion catheter,6
12,3889479,NCT00666887,Minocycline,MINOCIN,6
13,3889479,NCT00666887,Minocycline,Minocycline Hydrochloride,6
14,3889487,NCT04039087,Sildenafil 40mg oral capsule,"sildenafil, revatio",6
15,3889488,NCT04039087,Placebo Oral capsule,placebo,6
16,3889498,NCT00673387,pramlintide acetate,Smylin,6
17,3889500,NCT00673387,placebo-P,Placebo matched to pramlintide,6
18,3889501,NCT00673387,placebo-M,Placebo matched to Metreleptin,6
19,3889510,NCT03139487,Rivaroxaban,Xarelto,6
20,3889511,NCT03139487,Dalteparin,Fragmin,6
21,3889512,NCT03139487,apixaban,eliquis,6
22,3889516,NCT01931787,"6,8-bis(benzylthio)octanoic acid",CPI-613,6
23,3889516,NCT01931787,"6,8-bis(benzylthio)octanoic acid",alpha-lipoic acid analogue CPI-613,6
24,3889543,NCT05176379,Fluconazole 150 mg,placebo,6
25,3889553,NCT00589979,Lidoderm (Lidocaine 5% Patch),Lidoderm,6
26,3889554,NCT00589979,Placebo Patch,Placebo,6
27,3889575,NCT04791228,Lyso-thermosensitive Liposomal Doxorubicin,LTLD,6
28,3889575,NCT04791228,Lyso-thermosensitive Liposomal Doxorubicin,ThermoDox,6
29,3889630,NCT01392287,Memantine,Namenda (NDA # 021487),6
30,3889631,NCT00896987,lamotrigine (Lamictal),lamictal,6
31,3889632,NCT00896987,Carbamazepine (Tegretol),Tegretol,6
32,3889635,NCT01887587,MLN9708,Ixazomib,6
33,3889636,NCT01887587,Vincristine,Oncovin,6
34,3889637,NCT01887587,Doxorubicin,Doxil,6
35,3889637,NCT01887587,Doxorubicin,hydroxydaunorubicin,6
36,3889638,NCT01887587,Dexamethasone,Baycadron,6
37,3889638,NCT01887587,Dexamethasone,Decadron,6
38,3889638,NCT01887587,Dexamethasone,Dexasone,6
39,3889638,NCT01887587,Dexamethasone,Solurex,6
40,3889648,NCT01738087,NEXThaler 100/6 mcg DPI,Fixed combination of BDP plus formoterol fumarate,6
41,3889649,NCT01738087,Flixotide Accuhaler 500 mcg,Fluticasone Propionate,6
42,3889650,NCT01738087,NEXThaler 200/6 mcg DPI,Fixed combination of BDP plus formoterol fumarate,6
43,3889655,NCT05201079,Dificlir,Fidaxomicin,6
44,3889662,NCT04670679,Cetuximab,Erbitux,6
45,3889663,NCT04670679,Pembrolizumab,Keytruda,6
46,3889665,NCT04983979,Sodium Zirconium Cyclosilicate,Lokelma,6
47,3889685,NCT00398879,Perifosine,D-21266,6
48,3889685,NCT00398879,Perifosine,KRX-0401,6
49,3889695,NCT01467479,Telaprevir,VX-950,6
50,3889696,NCT01467479,Ribavirin,Copegus®,6
51,3889696,NCT01467479,Ribavirin,RBV,6
52,3889699,NCT05084079,CSII with formula-based initial insulin regimen,Formula-based regimen,6
53,3889700,NCT05084079,CSII with weight-based initial insulin regimen,Weight-based regimen,6
54,3889720,NCT03202979,Trazodone 20 mg,Trittico®,6
55,3889721,NCT03202979,Trazodone 10 mg,Trittico®,6
56,3889730,NCT02738879,Sitagliptin,Januvia®,6
57,3889734,NCT02738879,Insulin glargine,LANTUS®),6
58,3889736,NCT03387579,"Intralipid, 20% Intravenous Emulsion",Intralipid 20% Reduction,6
59,3889737,NCT03387579,"Intralipid, 20% Intravenous Emulsion",Intralipid 20% Historic,6
60,3889747,NCT03730779,Hyperoxia,Nocturnal normobaric hyperoxia,6
61,3889751,NCT06143579,FOLFOX-HAIC+Lenvatinib+Envolizumab,KN035,6
62,3889767,NCT04374279,Bicalutamide 150 Mg Oral Tablet,Casodex,6
63,3889774,NCT01735279,Omega 3,fish oil,6
64,3889774,NCT01735279,Omega 3,omega 3 fatty acid,6
65,3889775,NCT01735279,Placebo,mineral oil,6
66,3889818,NCT01687179,Sirolimus and Hydroxychloroquine 200 mg,"sirolimus(rapamune), hydroxychloroquine (plaquenil)",6
67,3889819,NCT01687179,Sirolimus and Hydroxychloroquine 400 mg,"Sirolimus (Rapamune), Hydroxychloroquine (plaquenil)",6
68,3889832,NCT01987479,Tocilizumab,"RoActemra, Actemra",6
69,3889837,NCT01523379,Parecoxib,Dynastat,6
70,3889838,NCT01523379,Placebo,sodium chlorid,6
71,3889890,NCT03725579,mepivicane hydrochloride,mepivicane,6
72,3889891,NCT03725579,articane hydrochloride,articane,6
73,3889892,NCT02081079,LDV/SOF,GS-5885/GS-7977,6
74,3889892,NCT02081079,LDV/SOF,Harvoni®,6
75,3889901,NCT05702879,TNF Inhibitor,"infliximab, adalimumab, etanercept, golimumab, and certolizumab.",6
76,3889902,NCT05702879,Steroids,Prednisolon,6
77,3889912,NCT00467779,cobimetinib,GDC-0973/XL518,6
78,3889926,NCT00359879,exenatide,Byetta,6
79,3889927,NCT00359879,exenatide,Byetta,6
80,3889934,NCT00896779,ranibizumab,Lucentis,6
81,3889936,NCT03340779,Norepinephrine,Dobutamine,6
82,3889980,NCT00095979,ixabepilone,BMS-247550,6
83,3889980,NCT00095979,ixabepilone,Ixempra,6
84,3889980,NCT00095979,ixabepilone,epothilone B lactam,6
85,3890008,NCT01151579,Levalbuterol,Xopenex,6
86,3890008,NCT01151579,Levalbuterol,ipratropium,6
87,3890009,NCT01151579,Albuterol,Salbutamol,6
88,3890017,NCT02263079,Pegylated Interferon Alfa-2A,"Pegasys, Peg-IFN-Alfa-2A",6
89,3890018,NCT03369379,D3 Vitamin,D3,6
90,3890020,NCT01615055,Fluoxetine,Prozac,6
91,3890026,NCT05202379,CC-42344,Active,6
92,3890033,NCT02400879,Remifentanil,"ultiva, GSK",6
93,3890034,NCT02400879,sevoflurane and sufentanil,sevorane and sufental,6
94,3890043,NCT01475279,Warfarin; Dantonic,coumadin,6
95,3890049,NCT06038279,Placebo,Placebo for INI-2004,6
96,3890054,NCT00903279,Altabax (retapamulin),Retapamulin,6
97,3890055,NCT05097079,MYOBLOC Low Dose,rimabotulinumtoxinB,6
98,3890056,NCT05097079,MYOBLOC High Dose,rimabotulinumtoxinB,6
99,3890057,NCT05097079,Placebo,PBO,6
100,3890058,NCT00749879,Proellex,Telapristone acetate,6
101,3890071,NCT03065179,Nivolumab/Ipilimumab,Opdivo,6
102,3890071,NCT03065179,Nivolumab/Ipilimumab,Yervoy,6
103,3890085,NCT03093155,Ixabepilone,Ixempra,6
104,3890086,NCT03093155,Bevacizumab,Avastin,6
105,3890094,NCT03063879,Sofosbuvir 400 mg and daclatasvir 60 mg,Sovodak,6
106,3890105,NCT00123955,Spironolactone,Aldactone,6
107,3890120,NCT03879655,VTS-270,2-hydroxypropyl-β-cyclodextrin,6
108,3890120,NCT03879655,VTS-270,Adrabetadex,6
109,3890120,NCT03879655,VTS-270,Cyclodextrin,6
110,3890130,NCT01605279,Dobutamine,DB,6
111,3890131,NCT01605279,Placebo,PL,6
112,3890145,NCT04650555,BIO 300 Oral Powder,BIO 300,6
113,3890145,NCT04650555,BIO 300 Oral Powder,Genistein,6
114,3890149,NCT03754179,Dabrafenib,DAB,6
115,3890149,NCT03754179,Dabrafenib,Tafinlar,6
116,3890150,NCT03754179,Trametinib,Mekinist,6
117,3890150,NCT03754179,Trametinib,TRA,6
118,3890151,NCT03754179,Hydroxychloroquine,HCQ,6
119,3890151,NCT03754179,Hydroxychloroquine,Plaquenil,6
120,3890152,NCT00549055,Macugen,Pegaptanib sodium,6
121,3890168,NCT00863655,Everolimus,RAD001,6
122,3890174,NCT00671879,Carisoprodol SR 700 mg,no other name,6
123,3890175,NCT00671879,Carisoprodol SR 500 mg,no other name,6
124,3890176,NCT00671879,Placebo,no other name,6
125,3890178,NCT02730455,natalizumab,BG00002,6
126,3890194,NCT02818855,Collagen Matrix,Mucograft,6
127,3890200,NCT00628355,lidocaine,Lidocaine injection,6
128,3890206,NCT00003479,Antineoplaston therapy (Atengenal + Astugenal),A10 (Atengenal); AS2-1 (Astugenal),6
129,3890223,NCT04925479,Asciminib Pediatric formulation group,ABL001,6
130,3890224,NCT04925479,Asciminib Adult formulation group,ABL001,6
131,3890232,NCT01737879,Peginesatide,Omontys,6
132,3890233,NCT01737879,Epoetin alfa,Epogen,6
133,3890238,NCT01810887,Darunavir,JNS011,6
134,3890239,NCT01810887,Ritonavir,Ritonavir will be administered orally twice daily as 100 mg capsule from Day 1-5.,6
135,3890240,NCT03235479,Rimegepant,BHV-3000,6
136,3890274,NCT06378879,Propofol 100 MG in 10 ML Injection,Diprivan (100mg/10ml),6
137,3890292,NCT05644379,Cadonilimab Injection,AK104,6
138,3890299,NCT03569579,Memantine Tab. 10mg,Ebixa Tab. 10mg,6
139,3890300,NCT03569579,Memantine Tab. 10mg + Donepezil Tab. 10mg,Ebixa Tab. 10mg + Aricept Tab. 10mg,6
140,3890305,NCT03941587,Aflibercept + reduced fluence photodynamic therapy (RF-PDT),Eylea,6
141,3890305,NCT03941587,Aflibercept + reduced fluence photodynamic therapy (RF-PDT),Visudyne,6
142,3890306,NCT03941587,Aflibercept + sham reduced fluence photodynamic therapy (RF-PDT),Eylea,6
143,3890311,NCT03077555,Zoely,estradiol hemihydrate combined pills,6
144,3890312,NCT03077555,Meliane ED,ethinyl estradiol combined pills,6
145,3890317,NCT04751955,Olinvacimab added to Capecitabine,Capecitabine,6
146,3890323,NCT00418379,300 IR (4M),Sublingual immunotherapy tablet,6
147,3890324,NCT00418379,300 IR (2M),Sublingual immunotherapy tablet,6
148,3890325,NCT00418379,Placebo,Sublingual placebo tablet,6
149,3890337,NCT01449279,Ipilimumab,MDX-101,6
150,3890337,NCT01449279,Ipilimumab,Yervoy,6
