condition_id,condition_name,regimen_id,source_id
1,acquired coagulopathy,338,1
2,acquired coagulopathy,760,1
3,acquired coagulopathy,1796,1
4,acquired coagulopathy,1798,1
5,acquired coagulopathy,1878,1
6,acquired hemophilia a,338,1
7,acquired hemophilia a,760,1
8,acquired hemophilia a,1796,1
9,acquired hemophilia a,1798,1
10,acquired hemophilia a,1878,1
11,acquired thrombotic thrombocytopenic purpura,1566,1
12,acquired thrombotic thrombocytopenic purpura,1878,1
13,acquired thrombotic thrombocytopenic purpura,2106,1
14,acute lymphoblastic leukemia infant,259,1
15,acute lymphoblastic leukemia infant,774,1
16,acute lymphoblastic leukemia infant,805,1
17,acute myeloid leukemia,3,1
18,acute myeloid leukemia,4,1
19,acute myeloid leukemia,5,1
20,acute myeloid leukemia,6,1
21,acute myeloid leukemia,8,1
22,acute myeloid leukemia,9,1
23,acute myeloid leukemia,10,1
24,acute myeloid leukemia,11,1
25,acute myeloid leukemia,12,1
26,acute myeloid leukemia,13,1
27,acute myeloid leukemia,14,1
28,acute myeloid leukemia,15,1
29,acute myeloid leukemia,16,1
30,acute myeloid leukemia,17,1
31,acute myeloid leukemia,18,1
32,acute myeloid leukemia,19,1
33,acute myeloid leukemia,71,1
34,acute myeloid leukemia,93,1
35,acute myeloid leukemia,108,1
36,acute myeloid leukemia,177,1
37,acute myeloid leukemia,178,1
38,acute myeloid leukemia,180,1
39,acute myeloid leukemia,181,1
40,acute myeloid leukemia,183,1
41,acute myeloid leukemia,184,1
42,acute myeloid leukemia,185,1
43,acute myeloid leukemia,289,1
44,acute myeloid leukemia,290,1
45,acute myeloid leukemia,528,1
46,acute myeloid leukemia,616,1
47,acute myeloid leukemia,617,1
48,acute myeloid leukemia,618,1
49,acute myeloid leukemia,619,1
50,acute myeloid leukemia,624,1
51,acute myeloid leukemia,625,1
52,acute myeloid leukemia,626,1
53,acute myeloid leukemia,628,1
54,acute myeloid leukemia,629,1
55,acute myeloid leukemia,729,1
56,acute myeloid leukemia,761,1
57,acute myeloid leukemia,790,1
58,acute myeloid leukemia,791,1
59,acute myeloid leukemia,794,1
60,acute myeloid leukemia,800,1
61,acute myeloid leukemia,801,1
62,acute myeloid leukemia,802,1
63,acute myeloid leukemia,803,1
64,acute myeloid leukemia,806,1
65,acute myeloid leukemia,807,1
66,acute myeloid leukemia,808,1
67,acute myeloid leukemia,811,1
68,acute myeloid leukemia,812,1
69,acute myeloid leukemia,822,1
70,acute myeloid leukemia,823,1
71,acute myeloid leukemia,824,1
72,acute myeloid leukemia,831,1
73,acute myeloid leukemia,864,1
74,acute myeloid leukemia,869,1
75,acute myeloid leukemia,910,1
76,acute myeloid leukemia,911,1
77,acute myeloid leukemia,912,1
78,acute myeloid leukemia,1037,1
79,acute myeloid leukemia,1069,1
80,acute myeloid leukemia,1093,1
81,acute myeloid leukemia,1132,1
82,acute myeloid leukemia,1134,1
83,acute myeloid leukemia,1148,1
84,acute myeloid leukemia,1258,1
85,acute myeloid leukemia,1260,1
86,acute myeloid leukemia,1262,1
87,acute myeloid leukemia,1276,1
88,acute myeloid leukemia,1277,1
89,acute myeloid leukemia,1278,1
90,acute myeloid leukemia,1288,1
91,acute myeloid leukemia,1289,1
