regimen_synonym_id,regimen_synonym,source_id,regimen_id
1,"(90)yfc, then allo hsct",1,1
2,"10 days of cytarabine, 3 days of daunorubicin, 5 days of etoposide",1,71
3,10-3-5,1,71
4,"100%; text-align:center;"">",1,669
5,"20%"">comparator",1,669
6,"20%"">dates of enrollment",1,669
7,"20%"">study",1,669
8,"20%"">years of enrollment",1,669
9,"33%"">dates of enrollment",1,681
10,"33%"">study",1,681
11,"33%"">years of enrollment",1,681
12,5 days of cytarabine + 2 days of daunorubicin,1,3
13,5 days of cytarabine + 3 days of daunorubicin,1,5
14,5 days of cytarabine + 3 days of idarubicin,1,6
15,5+2d,1,3
16,5+3d,1,5
17,5+3i,1,6
18,5-fluorouracil and radiation therapy,1,1160
19,5-fluourouracil and radiation therapy,1,1160
20,5-fu (fluorouracil) and folinic acid,1,1209
21,"5-fu (fluorouracil), folinic acid (leucovorin), irinotecan",1,1184
22,"5-fu (fluorouracil), folinic acid, irinotecan",1,1184
23,5-fu and irinotecan,1,1208
24,5-fu and l-leucovorin,1,1210
25,5-fu and leucovorin,1,1209
26,5-fu and leucovorin (folinic acid),1,1209
27,5-fu and levoleucovorin,1,1210
28,5-fu and oxaliplatin,1,1219
29,5-fu and rt,1,1160
30,"5-fu, folinic acid (leucovorin), oxaliplatin",1,1207
31,"5-fu, leucovorin (folinic acid), bevacizumab",1,1211
32,"5-fu, leucovorin (folinic acid), gemcitabine",1,1212
33,"5-fu, leucovorin (folinic acid), levamisole",1,1213
34,"5-fu, leucovorin (folinic acid), nanoliposomal irinotecan",1,1214
35,"5-fu, leucovorin, bevacizumab",1,1211
36,"5-fu, leucovorin, gemcitabine",1,1212
37,"5-fu, leucovorin, levamisole",1,1213
38,"5-fu, leucovorin, nanoliposomal irinotecan",1,1214
39,"5-fu, levoleucovorin, bevacizumab",1,1211
40,"5-fu, oxaliplatin, tislelizumab",1,1158
41,"53.1% vs 46.9%(hr 0.83, 95% ci 0.70-0.99)did not meet secondary endpoint of osos36",1,669
42,59% vs 63%,1,669
43,"60%; text-align:center;"">",1,681
44,7 days of cytarabine + 3 days of daunorubicin,1,7
45,7 days of cytarabine + 3 days of idarubicin,1,13
46,"7 days of cytarabine + 3 days of idarubicin, panobinostat",1,14
47,7 days of cytarabine + 3 days of mitoxantrone,1,18
48,7 days of cytarabine + 5 days of idarubicin,1,19
49,"7 days of cytarabine, 3 days of daunorubicin, 7 days of etoposide",1,71
